Date,Close/Last,Volume,Open,High,Low
01/27/2025,$26.97,5060256,$26.92,$27.6796,$26.80
01/24/2025,$27.77,4511646,$28.30,$28.67,$27.62
01/23/2025,$28.33,8828170,$27.88,$29.26,$27.68
01/22/2025,$27.65,5025385,$27.36,$28.016,$27.30
01/21/2025,$27.47,5867780,$27.40,$27.57,$26.33
01/17/2025,$27.51,8977526,$27.61,$28.7899,$27.02
01/16/2025,$27.72,4431995,$27.94,$28.14,$27.41
01/15/2025,$27.96,6025350,$28.90,$29.33,$27.84
01/14/2025,$27.88,11796600,$31.26,$31.6799,$27.5601
01/13/2025,$31.02,5566985,$31.60,$31.7999,$30.90
01/10/2025,$32.31,7068203,$32.50,$32.94,$31.40
01/08/2025,$32.96,6319956,$32.97,$33.37,$32.41
01/07/2025,$33.37,13360660,$32.80,$34.40,$31.71
01/06/2025,$32.82,12609410,$31.70,$33.49,$30.76
01/03/2025,$31.65,7461759,$30.80,$32.14,$30.5659
01/02/2025,$30.66,7979732,$31.84,$32.05,$30.3701
12/31/2024,$31.34,7395297,$32.06,$32.44,$31.10
12/30/2024,$32.01,9593140,$31.80,$32.88,$31.61
